"#","Germplasm","Species","Fruit_Wt","Dataset"
"652","PC 9816-083","Prunus avium","12.76","Sweet_cherry_CRS_phenotyping_2010"
"653","PC 9816-103","Prunus avium","9.59","Sweet_cherry_CRS_phenotyping_2010"
"654","PC 9816-105","Prunus avium","8.33","Sweet_cherry_CRS_phenotyping_2010"
"655","PC 9816-106","Prunus avium","9.14","Sweet_cherry_CRS_phenotyping_2010"
"656","PC 9816-078","Prunus avium","11.84","Sweet_cherry_CRS_phenotyping_2010"
"657","PC 9819-005","Prunus avium","8.77","Sweet_cherry_CRS_phenotyping_2010"
"658","PC 9819-038","Prunus avium","11.43","Sweet_cherry_CRS_phenotyping_2010"
"659","PC 9814-025","Prunus avium","8.13","Sweet_cherry_CRS_phenotyping_2010"
"660","PC 9814-103","Prunus avium","5.63","Sweet_cherry_CRS_phenotyping_2010"
"661","PC 9814-105","Prunus avium","8.78","Sweet_cherry_CRS_phenotyping_2010"
"662","PC 9814-028","Prunus avium","7.68","Sweet_cherry_CRS_phenotyping_2010"
"663","PC 9814-062","Prunus avium","9.16","Sweet_cherry_CRS_phenotyping_2010"
"664","PC 9814-063","Prunus avium","8.6","Sweet_cherry_CRS_phenotyping_2010"
"665","PC 9814-071","Prunus avium","10.37","Sweet_cherry_CRS_phenotyping_2010"
"666","PC 9814-076","Prunus avium","5.69","Sweet_cherry_CRS_phenotyping_2010"
"667","PC 9819-034","Prunus avium","10.03","Sweet_cherry_CRS_phenotyping_2010"
"668","Unk10-Sdlg","Prunus avium","9.15","Sweet_cherry_CRS_phenotyping_2011"
"669","Unk10-Sdlg","Prunus avium","11.5","Sweet_cherry_CRS_phenotyping_2012"
"670","Unk11-Sdlg","Prunus avium","9.48","Sweet_cherry_CRS_phenotyping_2012"
"671","Unk11-Sdlg","Prunus avium","11.85","Sweet_cherry_CRS_phenotyping_2011"
"672","Unk12-Sdlg","Prunus avium","8.25","Sweet_cherry_CRS_phenotyping_2012"
"673","Unk14-Sdlg","Prunus avium","9.18","Sweet_cherry_CRS_phenotyping_2012"
"674","Unk14-Sdlg","Prunus avium","11.06","Sweet_cherry_CRS_phenotyping_2011"
"675","Unk15-Sdlg","Prunus avium","10.35","Sweet_cherry_CRS_phenotyping_2010"
"676","Unk15-Sdlg","Prunus avium","11.12","Sweet_cherry_CRS_phenotyping_2012"
"677","Unk15-Sdlg","Prunus avium","11.57","Sweet_cherry_CRS_phenotyping_2011"
"678","Unk16-Sdlg","Prunus avium","7.3","Sweet_cherry_CRS_phenotyping_2012"
"679","Unk16-Sdlg","Prunus avium","9.7","Sweet_cherry_CRS_phenotyping_2011"
"680","Unk17-Sdlg","Prunus avium","7.75","Sweet_cherry_CRS_phenotyping_2010"
"681","Unk1-Sdlg","Prunus avium","8.92","Sweet_cherry_CRS_phenotyping_2012"
"682","Unk20-Sdlg","Prunus avium","10.27","Sweet_cherry_CRS_phenotyping_2011"
"683","Unk23-Sdlg","Prunus avium","13.14","Sweet_cherry_CRS_phenotyping_2012"
"684","Unk25-Sdlg","Prunus avium","5.28","Sweet_cherry_CRS_phenotyping_2011"
"685","Unk25-Sdlg","Prunus avium","8.94","Sweet_cherry_CRS_phenotyping_2012"
"686","Unk6-Sdlg","Prunus avium","10.67","Sweet_cherry_CRS_phenotyping_2012"
"687","Unk9-Sdlg","Prunus avium","9.08","Sweet_cherry_CRS_phenotyping_2012"
"688","Emperor Francis","Prunus avium","6.61","Sweet_cherry_CRS_phenotyping_2011"
"689","Emperor Francis","Prunus avium","9.15","Sweet_cherry_CRS_phenotyping_2012"
"690","Black Republican","Prunus avium","4.43","Sweet_cherry_CRS_phenotyping_2011"
"691","Black Republican","Prunus avium","7.02","Sweet_cherry_CRS_phenotyping_2012"
"692","Krupnoplodnaya","Prunus avium","11.9","Sweet_cherry_CRS_phenotyping_2012"
"693","Venus","Prunus avium","7.9","Sweet_cherry_CRS_phenotyping_2011"
"694","Venus","Prunus avium","8.82","Sweet_cherry_CRS_phenotyping_2012"
"695","Moreau","Prunus avium","7.22","Sweet_cherry_CRS_phenotyping_2012"
"696","Moreau","Prunus avium","8.41","Sweet_cherry_CRS_phenotyping_2011"
"697","Index","Prunus avium","9.24","Sweet_cherry_CRS_phenotyping_2012"
"698","Index","Prunus avium","10.6","Sweet_cherry_CRS_phenotyping_2011"
"699","Index","Prunus avium","10.85","Sweet_cherry_CRS_phenotyping_2010"
"700","Sunburst","Prunus avium","9.21","Sweet_cherry_CRS_phenotyping_2011"
"701","Sunburst","Prunus avium","11.48","Sweet_cherry_CRS_phenotyping_2012"
