"#","Germplasm","Species","Flesh_C","Dataset"
"676","Unk11-Sdlg","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"677","Unk11-Sdlg","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"678","Unk12-Sdlg","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"679","Unk14-Sdlg","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2012"
"680","Unk14-Sdlg","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"681","Unk15-Sdlg","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2011"
"682","Unk15-Sdlg","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"683","Unk15-Sdlg","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"684","Unk16-Sdlg","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"685","Unk16-Sdlg","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"686","Unk17-Sdlg","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"687","Unk1-Sdlg","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"688","Unk20-Sdlg","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"689","Unk22-Sdlg","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"690","Unk23-Sdlg","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"691","Unk25-Sdlg","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"692","Unk25-Sdlg","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"693","Unk6-Sdlg","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"694","Unk9-Sdlg","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"695","Emperor Francis","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"696","Emperor Francis","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"697","Black Republican","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"698","Black Republican","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"699","Krupnoplodnaya","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"700","Venus","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"701","Venus","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"702","Moreau","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2011"
"703","Moreau","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"704","Index","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2011"
"705","Index","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2010"
"706","Index","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"707","Sunburst","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"708","Sunburst","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
