"#","Germplasm","Species","Fruit_Wd2","Dataset"
"651","FR9T087","Prunus avium","26.94","Sweet_cherry_CRS_phenotyping_2012"
"652","FR9T096","Prunus avium","28.93","Sweet_cherry_CRS_phenotyping_2012"
"653","FR9T097","Prunus avium","24.44","Sweet_cherry_CRS_phenotyping_2011"
"654","FR9T097","Prunus avium","26.54","Sweet_cherry_CRS_phenotyping_2012"
"655","FR9T098","Prunus avium","23.4","Sweet_cherry_CRS_phenotyping_2011"
"656","FR9T098","Prunus avium","26.27","Sweet_cherry_CRS_phenotyping_2012"
"657","PC 9816-005","Prunus avium","24.41","Sweet_cherry_CRS_phenotyping_2010"
"658","PC 9816-023","Prunus avium","25.73","Sweet_cherry_CRS_phenotyping_2010"
"659","PC 9816-041","Prunus avium","26.1","Sweet_cherry_CRS_phenotyping_2010"
"660","PC 9816-059","Prunus avium","27.52","Sweet_cherry_CRS_phenotyping_2010"
"661","PC 9816-083","Prunus avium","30.31","Sweet_cherry_CRS_phenotyping_2010"
"662","PC 9816-103","Prunus avium","27.74","Sweet_cherry_CRS_phenotyping_2010"
"663","PC 9816-105","Prunus avium","25.5","Sweet_cherry_CRS_phenotyping_2010"
"664","PC 9816-106","Prunus avium","26.39","Sweet_cherry_CRS_phenotyping_2010"
"665","PC 9816-078","Prunus avium","28.93","Sweet_cherry_CRS_phenotyping_2010"
"666","PC 9819-005","Prunus avium","26.16","Sweet_cherry_CRS_phenotyping_2010"
"667","PC 9819-038","Prunus avium","28.62","Sweet_cherry_CRS_phenotyping_2010"
"668","PC 9814-025","Prunus avium","24.73","Sweet_cherry_CRS_phenotyping_2010"
"669","PC 9814-103","Prunus avium","21.52","Sweet_cherry_CRS_phenotyping_2010"
"670","PC 9814-105","Prunus avium","25.86","Sweet_cherry_CRS_phenotyping_2010"
"671","PC 9814-028","Prunus avium","22.88","Sweet_cherry_CRS_phenotyping_2010"
"672","PC 9814-062","Prunus avium","26.33","Sweet_cherry_CRS_phenotyping_2010"
"673","PC 9814-063","Prunus avium","27.49","Sweet_cherry_CRS_phenotyping_2010"
"674","PC 9814-071","Prunus avium","28.12","Sweet_cherry_CRS_phenotyping_2010"
"675","PC 9814-076","Prunus avium","22.44","Sweet_cherry_CRS_phenotyping_2010"
"676","PC 9819-034","Prunus avium","27.15","Sweet_cherry_CRS_phenotyping_2010"
"677","Unk10-Sdlg","Prunus avium","21.95","Sweet_cherry_CRS_phenotyping_2011"
"678","Unk10-Sdlg","Prunus avium","28.78","Sweet_cherry_CRS_phenotyping_2012"
"679","Unk11-Sdlg","Prunus avium","26.46","Sweet_cherry_CRS_phenotyping_2012"
"680","Unk11-Sdlg","Prunus avium","27.35","Sweet_cherry_CRS_phenotyping_2011"
"681","Unk12-Sdlg","Prunus avium","25.93","Sweet_cherry_CRS_phenotyping_2012"
"682","Unk14-Sdlg","Prunus avium","19.02","Sweet_cherry_CRS_phenotyping_2011"
"683","Unk14-Sdlg","Prunus avium","26.31","Sweet_cherry_CRS_phenotyping_2012"
"684","Unk15-Sdlg","Prunus avium","25.28","Sweet_cherry_CRS_phenotyping_2011"
"685","Unk15-Sdlg","Prunus avium","26.34","Sweet_cherry_CRS_phenotyping_2010"
"686","Unk15-Sdlg","Prunus avium","29","Sweet_cherry_CRS_phenotyping_2012"
"687","Unk16-Sdlg","Prunus avium","18.8","Sweet_cherry_CRS_phenotyping_2011"
"688","Unk16-Sdlg","Prunus avium","23.72","Sweet_cherry_CRS_phenotyping_2012"
"689","Unk17-Sdlg","Prunus avium","24.79","Sweet_cherry_CRS_phenotyping_2010"
"690","Unk1-Sdlg","Prunus avium","26.06","Sweet_cherry_CRS_phenotyping_2012"
"691","Unk20-Sdlg","Prunus avium","19.65","Sweet_cherry_CRS_phenotyping_2011"
"692","Unk22-Sdlg","Prunus avium","21.06","Sweet_cherry_CRS_phenotyping_2012"
"693","Unk23-Sdlg","Prunus avium","30.82","Sweet_cherry_CRS_phenotyping_2012"
"694","Unk25-Sdlg","Prunus avium","24","Sweet_cherry_CRS_phenotyping_2011"
"695","Unk25-Sdlg","Prunus avium","26.33","Sweet_cherry_CRS_phenotyping_2012"
"696","Unk6-Sdlg","Prunus avium","29.38","Sweet_cherry_CRS_phenotyping_2012"
"697","Unk9-Sdlg","Prunus avium","26.94","Sweet_cherry_CRS_phenotyping_2012"
"698","Emperor Francis","Prunus avium","21.75","Sweet_cherry_CRS_phenotyping_2011"
"699","Emperor Francis","Prunus avium","25.42","Sweet_cherry_CRS_phenotyping_2012"
"700","Black Republican","Prunus avium","19.13","Sweet_cherry_CRS_phenotyping_2011"
"701","Black Republican","Prunus avium","23.96","Sweet_cherry_CRS_phenotyping_2012"
"702","Krupnoplodnaya","Prunus avium","28.57","Sweet_cherry_CRS_phenotyping_2012"
"703","Venus","Prunus avium","24.81","Sweet_cherry_CRS_phenotyping_2012"
"704","Venus","Prunus avium","25.06","Sweet_cherry_CRS_phenotyping_2011"
"705","Moreau","Prunus avium","23.25","Sweet_cherry_CRS_phenotyping_2012"
"706","Moreau","Prunus avium","24.12","Sweet_cherry_CRS_phenotyping_2011"
"707","Index","Prunus avium","25.49","Sweet_cherry_CRS_phenotyping_2011"
"708","Index","Prunus avium","26.03","Sweet_cherry_CRS_phenotyping_2012"
"709","Index","Prunus avium","27.22","Sweet_cherry_CRS_phenotyping_2010"
"710","Sunburst","Prunus avium","24.47","Sweet_cherry_CRS_phenotyping_2011"
"711","Sunburst","Prunus avium","28.63","Sweet_cherry_CRS_phenotyping_2012"
