"#","Germplasm","Species","Pit_Wd1","Dataset"
"651","FR9T097","Prunus avium","10.07","Sweet_cherry_CRS_phenotyping_2012"
"652","FR9T098","Prunus avium","8.17","Sweet_cherry_CRS_phenotyping_2011"
"653","FR9T098","Prunus avium","9.5","Sweet_cherry_CRS_phenotyping_2012"
"654","PC 9816-005","Prunus avium","9.79","Sweet_cherry_CRS_phenotyping_2010"
"655","PC 9816-023","Prunus avium","10.23","Sweet_cherry_CRS_phenotyping_2010"
"656","PC 9816-041","Prunus avium","10.24","Sweet_cherry_CRS_phenotyping_2010"
"657","PC 9816-059","Prunus avium","9.89","Sweet_cherry_CRS_phenotyping_2010"
"658","PC 9816-083","Prunus avium","10.99","Sweet_cherry_CRS_phenotyping_2010"
"659","PC 9816-103","Prunus avium","10.55","Sweet_cherry_CRS_phenotyping_2010"
"660","PC 9816-105","Prunus avium","10.35","Sweet_cherry_CRS_phenotyping_2010"
"661","PC 9816-106","Prunus avium","10.12","Sweet_cherry_CRS_phenotyping_2010"
"662","PC 9816-078","Prunus avium","10.32","Sweet_cherry_CRS_phenotyping_2010"
"663","PC 9819-005","Prunus avium","8.7","Sweet_cherry_CRS_phenotyping_2010"
"664","PC 9819-038","Prunus avium","10.48","Sweet_cherry_CRS_phenotyping_2010"
"665","PC 9814-025","Prunus avium","9.33","Sweet_cherry_CRS_phenotyping_2010"
"666","PC 9814-103","Prunus avium","9.27","Sweet_cherry_CRS_phenotyping_2010"
"667","PC 9814-105","Prunus avium","10.13","Sweet_cherry_CRS_phenotyping_2010"
"668","PC 9814-028","Prunus avium","9.4","Sweet_cherry_CRS_phenotyping_2010"
"669","PC 9814-062","Prunus avium","9.65","Sweet_cherry_CRS_phenotyping_2010"
"670","PC 9814-063","Prunus avium","9.86","Sweet_cherry_CRS_phenotyping_2010"
"671","PC 9814-071","Prunus avium","9.74","Sweet_cherry_CRS_phenotyping_2010"
"672","PC 9814-076","Prunus avium","7.92","Sweet_cherry_CRS_phenotyping_2010"
"673","PC 9819-034","Prunus avium","10.37","Sweet_cherry_CRS_phenotyping_2010"
"674","Unk10-Sdlg","Prunus avium","8.61","Sweet_cherry_CRS_phenotyping_2011"
"675","Unk10-Sdlg","Prunus avium","10.86","Sweet_cherry_CRS_phenotyping_2012"
"676","Unk11-Sdlg","Prunus avium","9.84","Sweet_cherry_CRS_phenotyping_2011"
"677","Unk11-Sdlg","Prunus avium","10.25","Sweet_cherry_CRS_phenotyping_2012"
"678","Unk12-Sdlg","Prunus avium","9.3","Sweet_cherry_CRS_phenotyping_2012"
"679","Unk14-Sdlg","Prunus avium","7.97","Sweet_cherry_CRS_phenotyping_2011"
"680","Unk14-Sdlg","Prunus avium","9.28","Sweet_cherry_CRS_phenotyping_2012"
"681","Unk15-Sdlg","Prunus avium","8.62","Sweet_cherry_CRS_phenotyping_2011"
"682","Unk15-Sdlg","Prunus avium","9.34","Sweet_cherry_CRS_phenotyping_2012"
"683","Unk15-Sdlg","Prunus avium","9.85","Sweet_cherry_CRS_phenotyping_2010"
"684","Unk16-Sdlg","Prunus avium","7.51","Sweet_cherry_CRS_phenotyping_2011"
"685","Unk16-Sdlg","Prunus avium","9.58","Sweet_cherry_CRS_phenotyping_2012"
"686","Unk17-Sdlg","Prunus avium","9.15","Sweet_cherry_CRS_phenotyping_2010"
"687","Unk1-Sdlg","Prunus avium","9.29","Sweet_cherry_CRS_phenotyping_2012"
"688","Unk20-Sdlg","Prunus avium","7.9","Sweet_cherry_CRS_phenotyping_2011"
"689","Unk22-Sdlg","Prunus avium","9.04","Sweet_cherry_CRS_phenotyping_2012"
"690","Unk23-Sdlg","Prunus avium","10.95","Sweet_cherry_CRS_phenotyping_2012"
"691","Unk25-Sdlg","Prunus avium","9.17","Sweet_cherry_CRS_phenotyping_2011"
"692","Unk25-Sdlg","Prunus avium","9.43","Sweet_cherry_CRS_phenotyping_2012"
"693","Unk6-Sdlg","Prunus avium","10.85","Sweet_cherry_CRS_phenotyping_2012"
"694","Unk9-Sdlg","Prunus avium","9.47","Sweet_cherry_CRS_phenotyping_2012"
"695","Emperor Francis","Prunus avium","9.18","Sweet_cherry_CRS_phenotyping_2011"
"696","Emperor Francis","Prunus avium","9.52","Sweet_cherry_CRS_phenotyping_2012"
"697","Black Republican","Prunus avium","8.4","Sweet_cherry_CRS_phenotyping_2011"
"698","Black Republican","Prunus avium","9.06","Sweet_cherry_CRS_phenotyping_2012"
"699","Krupnoplodnaya","Prunus avium","10.73","Sweet_cherry_CRS_phenotyping_2012"
"700","Venus","Prunus avium","8.56","Sweet_cherry_CRS_phenotyping_2012"
"701","Venus","Prunus avium","8.98","Sweet_cherry_CRS_phenotyping_2011"
"702","Moreau","Prunus avium","9.12","Sweet_cherry_CRS_phenotyping_2011"
"703","Moreau","Prunus avium","9.57","Sweet_cherry_CRS_phenotyping_2012"
"704","Index","Prunus avium","8.73","Sweet_cherry_CRS_phenotyping_2011"
"705","Index","Prunus avium","9.4","Sweet_cherry_CRS_phenotyping_2012"
"706","Index","Prunus avium","10.28","Sweet_cherry_CRS_phenotyping_2010"
"707","Sunburst","Prunus avium","9.56","Sweet_cherry_CRS_phenotyping_2011"
"708","Sunburst","Prunus avium","10.14","Sweet_cherry_CRS_phenotyping_2012"
